t,T
0.00, -35.563
0.166, -33.0
0.333, -29.969
0.500, -25.866
0.666, -22.131
0.833, -20.250
1.000, -19.881
1.166, -19.117
1.333, -18.352
1.499, -17.813
1.666, -17.487
1.833, -17.129
1.999, -16.724
2.166, -16.348
2.332, -16.139
2.499, -15.878
2.666, -15.608
2.832, -15.389
2.999, -15.080
3.165, -14.876
3.332, -14.581
3.499, -14.330
3.665, -13.674
3.832, -13.024
3.998, -11.322
4.165, -9.532
4.332, -8.441
4.498, -6.481
4.665, -2.995
4.831, 0.056
4.998, 3.757
5.165, 7.544
5.331, 11.841
5.498, 15.249
5.664, 18.559
5.831, 22.092
5.998, 24.613
6.164, 26.500
6.331, 27.975
6.497, 29.382
6.664, 30.593
6.831, 31.702
6.997, 32.371
7.164, 33.276
7.330, 34.863
7.497, 36.900
7.664, 37.773
7.830, 30.528
7.997, 36.503
8.163, 34.199
8.330, 34.661
